DLGFile,TotalLines,SpeakerCount,TopSpeakers,StrRefMin,StrRefMax,HasLegacyLines
BRELM.DLG,24,1,Brelm (24),25044,25141,No
C6SQUIRE.DLG,24,1,C6Squire (24),52957,53001,No
CROGAM01.DLG,24,1,Crogam01 (24),45282,45306,No
DEGARD.DLG,24,2,Degard (23); Arkush (1),7425,61249,No
DORKUS.DLG,24,1,Dorkus (24),10554,27986,No
ELMIN5.DLG,24,2,Elmin5 (23); Cefaldor (1),9865,9912,No
HAERD25A.DLG,24,1,Haerd25A (24),65249,65272,No
KIVAN.DLG,24,4,Kivan (16); Edwin (5); Ftown5 (2); Bminsc (1),401,14363,No
MTOWN2.DLG,24,3,Mtown2 (19); Fatwba (4); Fatmba (1),13944,14141,No
MTOWNUL.DLG,24,3,Mtownul (11); Bmthief (11); Bodhi (2),21336,21376,No
MURCRAG.DLG,24,1,Murcrag (24),26056,26079,No
OBSSOL02.DLG,24,1,Obssol02 (24),33066,33089,No
OHRHDEEP.DLG,24,3,Ohrhdeep (13); Ohrcuddy (10); Ohrdwrf1 (1),82941,84603,Yes
PIRMUR04.DLG,24,1,Pirmur04 (24),54550,54603,No
SARPEL01.DLG,24,1,Sarpel01 (24),71684,71716,No
SLSHOP01.DLG,24,1,Slshop01 (24),19966,45573,No
THIEF5.DLG,24,3,Thief5 (13); Delainy (7); Durlyle (4),21693,21716,No
TIRDIR.DLG,24,1,Tirdir (24),26403,26426,No
UDDROW07.DLG,24,1,Uddrow07 (24),52573,52615,No
ARNGRL01.DLG,23,1,Arngrl01 (23),40212,40239,No
CEGLUT.DLG,23,1,Ceglut (23),8966,9038,No
CHALIN01.DLG,23,1,Chalin01 (23),72148,73310,No
CLMOM.DLG,23,1,Clmom (23),27768,27806,No
DADROW17.DLG,23,1,Dadrow17 (23),57410,61185,No
EDWINW.DLG,23,2,Edwinw (22); Arkush (1),6923,25841,No
ELFBOUNT.DLG,23,1,Elfbount (23),15164,15220,No
FIRORC03.DLG,23,1,Firorc03 (23),33546,37442,No
FIRWLF01.DLG,23,1,Firwlf01 (23),33559,37381,No
GEMFAR01.DLG,23,1,Gemfar01 (23),31943,37333,No
GORARC1.DLG,23,1,Gorarc1 (23),62328,63955,No
JAHABOAM.DLG,23,2,Dshop02 (21); Jahaboam (2),9660,26491,No
KELDO25A.DLG,23,1,Keldo25A (23),65380,65414,No
KORPIM.DLG,23,1,Korpim (23),30448,37861,No
MARIA.DLG,23,2,Maria (22); Housg5 (1),9226,37978,No
MTOWN1.DLG,23,3,Mtown1 (21); Cutgor (1); Cutsar (1),13752,13941,No
OHRDMH1.DLG,23,2,Ohrdmh1 (17); Ohrblynn (6),80326,95156,No
R179.DLG,23,5,R179 (17); Hervo (3); Baerie (1); Bkeldor (1); Edwin (1),2739,6392,No
SATOS.DLG,23,5,Satos (9); Bminsc (6); Baerie (3); Bmazzy (3); Cerndj (2),3131,8973,No
SHOP3.DLG,23,3,Shop03 (18); Ftowbe (3); Poghm2 (2),15911,15989,No
SHOPNYMP.DLG,23,5,R179 (17); Hervo (3); Baerie (1); Bkeldor (1); Edwin (1),2739,6392,No
SHTH01.DLG,23,1,Shth01 (23),32891,32983,No
UDOGRE.DLG,23,1,Udogre (23),52017,52093,No
UHFARM02.DLG,23,1,Uhfarm02 (23),31977,32806,No
UHKID03.DLG,23,1,Uhkid03 (23),33394,37384,No
WCUST03.DLG,23,1,Wcust03 (23),28828,45555,No
XXXXXXX.DLG,23,2,Mazzy2 (17); Xxxxxxx (6),24012,48260,No
AERIE25A.DLG,22,1,Aerie25A (22),65064,65105,No
BDACT02.DLG,22,1,Bdact02 (22),40973,42110,No
BLUSHC.DLG,22,1,Blushc (22),2101,2122,No
CERND25A.DLG,22,1,Cernd25A (22),65181,65202,No
FSGLOBE.DLG,22,1,Fsglobe (22),63750,71003,No
GERETH.DLG,22,1,Gereth (22),25018,30081,No
HALFTR.DLG,22,3,Halftr (20); Edwinw (1); Baerie (1),5373,9299,No
JAHEI25A.DLG,22,1,Jahei25A (22),65308,65330,No
MENDA2.DLG,22,3,Gaelan (17); Menda2 (4); Gaylan (1),20875,22154,No
MINSC25A.DLG,22,1,Minsc25A (22),65582,65609,No
NALIA25A.DLG,22,1,Nalia25A (22),65619,65647,No
OHBDANCE.DLG,22,1,Ohbdance (22),92786,101652,No
OHHAYESH.DLG,22,1,Ohhayesh (22),83945,84059,Yes
OHHGM01.DLG,22,1,Ohhgm01 (22),82150,83346,No
PLFARM04.DLG,22,1,Plfarm04 (22),37081,37681,No
PPDOOR.DLG,22,1,Ppdoor (22),44010,44031,No
SUELLE2.DLG,22,1,Suelle2 (22),55236,55257,No
SUELLES2.DLG,22,1,Suelle2 (22),55236,55257,No
SUELLI2.DLG,22,1,Suelle2 (22),55236,55257,No
TBXANJ.DLG,22,1,Tbxanj (22),39243,99911,No
TIANA.DLG,22,1,Tiana (22),24929,24980,No
TRRAK01.DLG,22,1,Trrak01 (22),43531,43552,No
TTXANJ.DLG,22,2,Tbxanj (11); Ttxanj (11),39243,99871,No
UDDUER03.DLG,22,1,Udduer03 (22),50137,56064,No
UHMER03.DLG,22,1,Uhmer03 (22),32689,38068,No
UHPAT01.DLG,22,1,Uhpat01 (22),44801,44823,No
ARNMAN04.DLG,21,1,Arnman04 (21),39038,48686,No
BAZDRA03.DLG,21,1,Bazdra03 (21),67645,73003,No
BODFGT03.DLG,21,1,Bodfgt03 (21),35029,35061,No
CERNDP.DLG,21,2,Cerndp (20); Boybe2 (1),8149,74273,No
DOPPSM.DLG,21,2,Bjan (11); Doppsm (10),981,16590,No
FTOWN2.DLG,21,1,Ftown2 (21),14386,14425,No
GENIE2.DLG,21,7,Genie2 (6); Coranp (4); Beggar3 (3); Branwp (3); Ajantp (2),15432,15462,No
HAERD25J.DLG,21,1,Haerd25J (21),67905,92224,No
HALFFG.DLG,21,3,Cernd (12); Anomen (8); Halffg (1),7861,9292,No
HMELVIN.DLG,21,1,Hmelvin (21),28060,28117,No
KALAH2.DLG,21,4,Kalah2 (17); Bentha (2); Drelik (1); Jardak (1),2272,37772,No
KELDO25J.DLG,21,1,Keldo25J (21),67874,72570,No
MONTAR.DLG,21,3,Haerdaj (11); Montar (9); Beggar3 (1),229,16062,No
NIKLOS.DLG,21,3,Niklos (19); Minsc (1); Bmazzy (1),2761,9070,No
NIKOLA.DLG,21,3,Jaheirap (15); Hervo (5); Kalah2 (1),18820,18842,No
OHDHSEN.DLG,21,1,Ohdhsen (21),75048,75076,Yes
OHHKUNG.DLG,21,2,Ohhkung (20); Neera25J (1),83564,83944,Yes
OHNTHALL.DLG,21,1,Ohnthall (21),99958,99978,No
PPTIAX.DLG,21,1,Pptiax (21),44207,55753,No
RUMAR.DLG,21,1,Rumar (21),24948,24985,No
SAERK.DLG,21,1,Saerk (21),25513,36449,No
SARSON01.DLG,21,1,Sarson01 (21),64948,73250,No
SPECH2.DLG,21,2,Spech2 (20); Appar (1),23093,23291,No
TARNES.DLG,21,3,Tarnes (11); Jarevia (9); Jaheira (1),17882,17903,No
THIEF6.DLG,21,1,Thief6 (21),21717,21737,No
TRGUARD.DLG,21,1,Trguard (21),541,613,No
UDILSLA2.DLG,21,1,Udilsla2 (21),57485,57506,No
UHFEM02.DLG,21,1,Uhfem02 (21),31980,37977,No
UHKID02.DLG,21,1,Uhkid02 (21),33393,37382,No
WINSKI.DLG,21,6,Winski (6); Bkeldor (4); Bnalia (4); Idjinni (4); Keldorp (2),10851,10872,No
ALANBL.DLG,20,1,Alanbl (20),9720,9756,No
BOOTER.DLG,20,1,Booter (20),36533,48927,No
C6BRUEN1.DLG,20,1,C6Bruen1 (20),53296,53447,No
CRODRU01.DLG,20,1,Crodru01 (20),45326,45402,No
DRENDEN.DLG,20,2,Drenden (18); Bran (2),1677,24788,No
FINMEL01.DLG,20,1,Finmel01 (20),67790,67815,No
FTOWBA.DLG,20,3,Ftowba (15); Bernard (4); Edwin (1),1630,17962,Yes
GORCH.DLG,20,2,Gorch (17); Durlyle (3),21673,21692,No
HELLJON.DLG,20,1,Helljon (20),55229,55348,No
HLSHANG.DLG,20,1,Hlshang (20),55989,56027,No
IRON13.DLG,20,2,Iron13 (16); Anomen (4),7600,11827,No
ITHTYL.DLG,20,5,Ithtyl (9); Anomen (6); Byoshim (2); Banomen (2); Bjan (1),8401,9205,No
KORGA25A.DLG,20,1,Korga25A (20),65433,65473,No
MARCUS.DLG,20,1,Marcus (20),29726,61476,No
MINSC25J.DLG,20,1,Minsc25J (20),67912,92235,No
MTOWBEZ.DLG,20,6,Mtowbez (8); Idryad3 (4); Jaheira (4); Bviconi (2); Idjinni (1),10251,17841,Yes
OHBGUA.DLG,20,1,Ohbgua (20),90512,100665,No
OHBSHORT.DLG,20,2,Ohbshort (17); Ohbmardu (3),90657,100670,No
OHNBARKE.DLG,20,1,Ohnbarke (20),93289,93311,No
OHRMURUN.DLG,20,1,Ohrmurun (20),82841,82861,Yes
OHRSBG.DLG,20,1,Ohrsbg (20),82674,82697,No
PIRMUR03.DLG,20,1,Pirmur03 (20),55258,55279,No
PPBODHI3.DLG,20,1,Ppbodhi3 (20),43497,58664,No
PPDILI.DLG,20,2,Ppdili (18); Neeraj (2),44186,53804,Yes
SARBHA01.DLG,20,1,Sarbha01 (20),65799,71871,No
SEVPAT01.DLG,20,1,Sevpat01 (20),47430,47467,No
SHTH03.DLG,20,1,Shth03 (20),32933,34902,No
SLAVER1.DLG,20,3,Slaver1 (14); Algern (3); Quinn (3),1034,44789,No
SUJON.DLG,20,1,Sujon (20),54671,54726,No
SW2H14.DLG,20,1,Sw2H14 (20),59481,59543,No
TERSUS.DLG,20,2,Kftown01 (15); Jaheira (5),20150,20180,No
TRGYP04.DLG,20,1,Trgyp04 (20),47214,47248,No
UHFARM01.DLG,20,1,Uhfarm01 (20),31975,32757,No
VARA1.DLG,20,1,Vara1 (20),24303,61542,No
WARWLF.DLG,20,1,Bvalyga (20),21555,21592,No
BOANASTE.DLG,19,1,Boanaste (19),21395,21434,No
BSHOP02.DLG,19,1,Bshop02 (19),25851,48759,No
CELVAN.DLG,19,1,Celvan (19),25448,98499,No
CROGAM02.DLG,19,1,Crogam02 (19),45307,45325,No
CUTEKI.DLG,19,5,Bvalyga (7); Bedwin (4); Bcernd (3); Bjaheir (3); Cuteki (2),21079,21103,No
DAGITH1.DLG,19,1,Dagith1 (19),57245,57276,No
DEZKIEL.DLG,19,2,Dezkiel (17); Anomen (2),23760,23778,No
DPJON01.DLG,19,1,Dpjon01 (19),59575,59620,No
DRUIDAD.DLG,19,1,Druidad (19),58619,58641,No
EDWINP.DLG,19,1,Edwinp (19),48541,61540,No
ELEPUZ02.DLG,19,1,Elepuz02 (19),47707,47803,No
EMBARL.DLG,19,1,Embarl (19),22205,22288,No
GARRICK.DLG,19,1,Garrick (19),27832,27898,No
GOVWAU01.DLG,19,1,Govwau01 (19),58435,58453,No
HAFFG2.DLG,19,3,Cernd (8); Haffg2 (7); Anomen (4),7843,9293,No
HAPIP.DLG,19,1,Hapip (19),30465,30513,No
ILLASERA.DLG,19,1,Illasera (19),63956,63988,No
KORGANF.DLG,19,1,Korganf (19),2417,2570,No
MURDBOY1.DLG,19,1,Murdboy1 (19),26039,37762,No
NOBL9.DLG,19,4,Cor (7); Anomen (6); Cernd (5); Nobl9 (1),7995,8013,No
OHRFILLI.DLG,19,1,Ohrfilli (19),82720,94880,No
PIQUE.DLG,19,5,Baerie (8); Bminsc (6); Bkeldor (3); Bkorgan (1); Ceigarol (1),3225,8741,No
PLFARM06.DLG,19,1,Plfarm06 (19),37092,37673,No
PPCOWLED.DLG,19,1,Ppcowled (19),44105,58800,No
PPJOYE2.DLG,19,1,Ppjoye2 (19),56631,58555,No
SARBHA03.DLG,19,1,Sarbha03 (19),65819,71196,No
SCROLL01.DLG,19,1,Scroll01 (19),46479,61175,No
SHTH02.DLG,19,1,Shth02 (19),32912,32987,No
STEIN.DLG,19,1,Stein (19),27101,27122,No
SWSHAMAN.DLG,19,1,Swshaman (19),27262,59544,No
TGARRICK.DLG,19,1,Garrick (19),27832,27898,No
THESHAL.DLG,19,4,Baresh (10); Grael (6); Therel (2); Theshal (1),22203,23427,No
TRSKIN05.DLG,19,1,Trskin05 (19),44509,44767,No
UDSVIR01.DLG,19,1,Udsvir01 (19),50777,50796,No
UHMAN01.DLG,19,1,Uhman01 (19),31989,37976,No
UHMER02.DLG,19,1,Uhmer02 (19),32675,38061,No
UNUSED.DLG,19,3,Unused (11); Mtowbez (7); Ftowbez (1),17830,38786,No
VALYG25P.DLG,19,2,Valyg25P (18); Multig (1),65690,70979,No
VELVET.DLG,19,2,Bystand2 (18); Drunk1 (1),14859,15208,No
VULOVA.DLG,19,1,Vulova (19),35084,35126,No
WARSAGE.DLG,19,1,Warsage (19),56577,56597,No
ACOLYTE2.DLG,18,1,Acolyte2 (18),27560,27823,No
AERIE25P.DLG,18,1,Aerie25P (18),65107,71083,No
ANOME25P.DLG,18,1,Anome25P (18),65165,70937,No
BEAST.DLG,18,2,Beast (17); Andris (1),16891,23727,No
BORIN.DLG,18,2,Borin (12); Bkeldor (6),11571,11601,No
C6GENER.DLG,18,1,C6Gener (18),53138,58888,No
CAEDMO.DLG,18,1,Caedmo (18),10648,10666,No
CHHELP.DLG,18,5,Bjaheir (6); Bviconi (4); Cerndj (4); Chhelp (2); Banomen (2),8886,8903,Yes
DADROW26.DLG,18,1,Dadrow26 (18),57149,57237,No
DHANIA.DLG,18,6,Bjaheir (6); Dhania (3); Bkorgan (3); Bhaerda (2); Bviconi (2),20202,20244,Yes
DREAMPC.DLG,18,1,Dreampc (18),67358,67427,No
ELDOTD.DLG,18,3,Baerie (13); Eldotd (4); Bminsc (1),0,3302,No
FIRBAN02.DLG,18,1,Firban02 (18),34279,42713,No
FSSPIR2.DLG,18,1,Fsspir2 (18),63391,63456,No
GAMES3.DLG,18,2,Games3 (16); Aataqah (2),19305,19440,No
GUARD2.DLG,18,1,Guard2 (18),16416,16435,No
IMOEN25A.DLG,18,1,Imoen25A (18),65281,65298,No
KPLEND02.DLG,18,1,Kplend02 (18),40526,40573,No
KPMAID01.DLG,18,1,Kpmaid01 (18),40154,40510,No
KPSOLD01.DLG,18,1,Kpsold01 (18),39885,39902,No
MGBILL01.DLG,18,1,Mgbill01 (18),42280,42937,No
OHBBRANS.DLG,18,1,Ohbbrans (18),101217,101237,No
OHDPLANJ.DLG,18,1,Ohdplanj (18),89623,93042,Yes
OHDSWORD.DLG,18,2,Ohdsword (17); Dorn25J (1),89624,93025,Yes
OHRDWS02.DLG,18,3,Ohrdws01 (9); Ohrdws02 (7); Ohrcuddy (2),80581,99953,Yes
PIRPIR05.DLG,18,1,Pirpir05 (18),48293,58491,No
PORTAL.DLG,18,1,Portal (18),17945,17993,No
PPDEMON.DLG,18,1,Ppdemon (18),44793,44836,No
RIFTC02.DLG,18,1,Riftc02 (18),30297,30314,No
RNGSHA01.DLG,18,1,Rngsha01 (18),33406,43278,No
SARPROVF.DLG,18,1,Sarprovf (18),71238,71717,No
SENDAI.DLG,18,1,Sendai (18),67443,67562,No
SHTH04.DLG,18,1,Shth04 (18),32950,32989,No
SHTH06.DLG,18,1,Shth06 (18),32966,32991,No
SHTHDR01.DLG,18,1,Shthdr01 (18),31970,33040,No
SIL.DLG,18,2,Gerhar (16); Sil (2),2011,2030,No
SPECH3.DLG,18,3,Spech3 (11); Riggilo (6); Meiala (1),23096,23292,No
SUELLEAP.DLG,18,1,Suelleap (18),58250,58267,No
UDDOOR01.DLG,18,1,Uddoor01 (18),51655,52016,No
VICG1.DLG,18,2,Vicfan1 (17); Vicg1 (1),29402,62168,No
VVTANOV.DLG,18,1,Vvtanov (18),41348,41382,No
BINKY.DLG,17,1,Binky (17),18674,18700,No
CALDO.DLG,17,5,Byoshim (7); Bjan (6); Bnalia (2); Bkorgan (1); Caldo (1),704,11801,No
CHLOE.DLG,17,1,Chloe (17),19375,19435,No
COKSMTH.DLG,17,1,Coksmth (17),10801,10827,No
CREDUS.DLG,17,1,Credus (17),17446,17462,No
DADROW6.DLG,17,1,Dadrow6 (17),56825,56988,No
ELEPUZ03.DLG,17,1,Elepuz03 (17),47708,47802,No
FIRKRA01.DLG,17,1,Firkra01 (17),33672,33967,No
FLAM10.DLG,17,6,Bedwin (6); Flam10 (5); Bviconi (3); Bjaheir (1); Anomen (1),7533,9007,Yes
GORSUC01.DLG,17,1,Gorsuc01 (17),67773,67789,No
GORTOR1.DLG,17,1,Gortor1 (17),63251,72827,No
GORTOR2.DLG,17,1,Gortor2 (17),63269,72828,No
GORTOR3.DLG,17,1,Gortor3 (17),63285,72829,No
GORTOR4.DLG,17,1,Gortor4 (17),63302,72830,No
GORTOR5.DLG,17,1,Gortor5 (17),63322,72831,No
GORTOR6.DLG,17,1,Gortor6 (17),63339,72832,No
HALFG3.DLG,17,3,Celogan (12); Halfg3 (3); Anomen (2),7827,9295,No
HALFG5.DLG,17,2,Cernd (15); Halfg5 (2),7881,9297,No
IRON14.DLG,17,3,Anomen (9); Iron14 (6); Celogan (2),7618,9220,No
KGENIE2.DLG,17,6,Genie2 (6); Coranp (4); Branwp (3); Alorap (2); Faldop (1),15432,15462,No
LARRIA.DLG,17,2,Larria (16); Jatermin (1),18934,18950,No
LIFE2.DLG,17,7,Life2 (10); Karan (2); Iron13 (1); Doppsm (1); Bentha (1),11815,11889,No
LISSA.DLG,17,2,Lissa (13); Banmer (4),1960,37488,No
LOBAR.DLG,17,5,Banomen (8); Lobar (6); Cefaldor (1); Bhaerda (1); Byoshim (1),8213,9190,No
MAZZY2.DLG,17,1,Mazzy2 (17),24012,24162,No
MAZZYP2.DLG,17,1,Mazzy2 (17),24012,24162,No
MINSCP.DLG,17,2,Minscp (16); Detran (1),3076,61159,No
MTOWNAZ.DLG,17,8,Bkorgan (5); Mtownaz (4); Bmazzy (2); Idryad1 (2); Idryad2 (1),17742,17792,No
NEEBER.DLG,17,1,Neeber (17),44348,44364,No
NESSIE.DLG,17,2,Nessie (15); Aataqah (2),18560,18604,No
NOBWBAZ.DLG,17,2,Bviconi (15); Keldorn (2),9783,10115,Yes
OHHDECOY.DLG,17,1,Ohhdecoy (17),85637,85664,Yes
PIRMUR08.DLG,17,1,Pirmur08 (17),54542,54604,No
PPAPHRIL.DLG,17,1,Ppaphril (17),44645,55735,No
PPGUY01.DLG,17,1,Ppguy01 (17),71063,73937,No
RESUNA.DLG,17,1,Resuna (17),51197,53029,No
SCQAR.DLG,17,1,Scqar (17),28534,37839,No
SUAVATAR.DLG,17,1,Suavatar (17),54549,57858,No
SUELF3.DLG,17,1,Suelf3 (17),54446,54468,No
TIRLANA.DLG,17,1,Tirlana (17),27838,27910,No
TRAVEL.DLG,17,3,Cernd (8); Travel (8); Cederil (1),7927,9041,No
UDDROW22.DLG,17,1,Uddrow22 (17),52759,52782,No
UDLESA.DLG,17,1,Udlesa (17),52568,61299,No
UDTRAP06.DLG,17,1,Udtrap06 (17),50751,50767,No
VICFAN1.DLG,17,1,Vicfan1 (17),29402,29474,No
VIEKANG.DLG,17,1,Viekang (17),62060,62076,No
VVHAREIS.DLG,17,1,Vvhareis (17),41065,43011,No
AEEXTORT.DLG,16,1,Aeextort (16),42970,42992,No
AESOLD.DLG,16,1,Aesold (16),42947,42968,No
AMCLER01.DLG,16,1,Amcler01 (16),66652,66700,No
AMMONK02.DLG,16,1,Ammonk02 (16),66918,73854,No
ANCAN.DLG,16,1,Ancan (16),33094,33110,No
ARNMAN03.DLG,16,1,Arnman03 (16),38999,48660,No
CLONE1.DLG,16,1,Clone1 (16),12676,38677,No
DAITEL.DLG,16,2,Daitel (8); Berinvar (8),23011,23032,No
DRUNK.DLG,16,5,Drunk (5); Byoshim (5); Bmazzy (4); Anomen (1); Cederil (1),5018,8981,No
ELEPUZ01.DLG,16,1,Elepuz01 (16),47706,47804,No
FTOWN6.DLG,16,1,Ftown6 (16),14351,14514,No
GORBEL.DLG,16,1,Gorbel (16),62858,62877,No
GRAE.DLG,16,1,Grae (16),28827,28861,No
HALFG2.DLG,16,2,Celogan (11); Halfg2 (5),7810,9294,No
HALFG6.DLG,16,5,Cernd (7); Halfg6 (5); Anomen (2); Bjaheir (1); Cerndj (1),7897,9298,No
HOBGO5.DLG,16,2,Byoshim (14); Edwin (2),5096,6260,No
HOUSG4.DLG,16,7,Bedwin (6); Housg4 (5); Anomen (1); Cernd (1); Celogan (1),7570,11248,No
IMOEN2P.DLG,16,1,Imoen2P (16),49241,61456,No
ISHADMT1.DLG,16,1,Ishadmt1 (16),49001,49028,No
JAHEI25P.DLG,16,1,Jahei25P (16),65331,70961,No
JATERMIN.DLG,16,3,Jatermin (13); Berrun (2); Chloe (1),18946,26959,No
KHELLOR.DLG,16,1,Khellor (16),1750,61439,No
LIFE1.DLG,16,1,Life1 (16),11633,11813,No
MAZZY25J.DLG,16,1,Mazzy25J (16),67880,92238,No
MTOWF2.DLG,16,4,Cernd (6); Anomen (6); Mtowf2 (3); Bkeldor (1),7969,9168,No
NEERA25A.DLG,16,1,Neera25A (16),89603,89621,Yes
NOBL6.DLG,16,3,Celogan (9); Nobl6 (6); Byoshim (1),7795,9136,No
OBSSOL03.DLG,16,1,Ancan (16),33094,33110,No
OHRDWRF1.DLG,16,2,Ohrcuddy (15); Ohrdwrf1 (1),84588,84603,Yes
OHRDWRF3.DLG,16,2,Ohrcuddy (15); Ohrdwrf1 (1),84588,84603,Yes
ORPHAN1.DLG,16,1,Orphan1 (16),73264,73992,No
PPIMOEN.DLG,16,1,Ppimoen (16),44170,44660,No
PPNALJ.DLG,16,1,Ppnalj (16),44634,57877,No
RERAK01.DLG,16,1,Rerak01 (16),51616,51736,No
SARFEM02.DLG,16,1,Sarfem02 (16),64248,64270,No
SARPROVM.DLG,16,1,Sarprovm (16),71247,71718,No
SPJEAG.DLG,16,1,Spjeag (16),17470,33643,No
SUELF12.DLG,16,1,Suelf12 (16),57805,57823,No
SUELF2.DLG,16,1,Suelf2 (16),54416,54445,No
TBBRANJ.DLG,16,1,Tbbranj (16),39290,99846,No
THIEFTES.DLG,16,1,Thieftes (16),32157,32240,No
TREVIL02.DLG,16,1,Trevil02 (16),50842,50882,No
TTBRANJ.DLG,16,2,Tbbranj (12); Ttbranj (4),39290,39496,No
VICON25P.DLG,16,1,Vicon25P (16),65737,70981,No
VVMADMAN.DLG,16,1,Vvmadman (16),43126,43142,No
WILMAT.DLG,16,2,Wilmat (11); Slilmat (5),29083,103228,No
YAGO.DLG,16,5,Terrece (11); Yago (2); Ceglut (1); Idryad3 (1); Baerie (1),1562,11267,No
YOSHP.DLG,16,2,Yoshp (14); Baresh (2),22206,61160,No
ZORDRAL.DLG,16,3,Hervo (8); Zordral (5); Lavok (3),18728,18755,No
ACOLYTE1.DLG,15,1,Acolyte1 (15),27546,27821,No
ACOLYTE3.DLG,15,1,Acolyte3 (15),27586,27827,No
AMMGRD05.DLG,15,1,Ammgrd05 (15),73275,73574,No
AMNG1.DLG,15,1,Amng1 (15),16086,47106,No
CORSON.DLG,15,1,Corson (15),19542,19559,No
ELEPUZ04.DLG,15,1,Elepuz04 (15),47709,47798,No
ELOTTE.DLG,15,1,Elotte (15),36853,36884,No
FFRECEP.DLG,15,1,Ffrecep (15),29865,29894,No
GAMES4.DLG,15,2,Games4 (13); Aataqah (2),19319,19443,No
GORF1.DLG,15,1,Gorf1 (15),24406,61242,No
HALFG4.DLG,15,3,Anomen (8); Halfg4 (5); Cernd (2),7913,9296,No
HLSION.DLG,15,1,Hlsion (15),56246,56302,No
KORGA25P.DLG,15,1,Korga25P (15),65476,70968,No
KPLEND01.DLG,15,1,Kplend01 (15),40525,40574,No
LASSAL.DLG,15,3,Lassal (13); Bentan (1); Ajanti (1),5734,35159,No
MEILUM.DLG,15,1,Meilum (15),18463,18486,No
MULTIJ.DLG,15,2,Multij (12); Multig (3),43200,74101,No
NALIA25J.DLG,15,1,Nalia25J (15),67765,92239,No
NEB.DLG,15,1,Neb (15),48202,61135,No
NOBL5.DLG,15,3,Nobl5 (9); Celogan (5); Bhaerda (1),7781,9137,No
OHDBALD.DLG,15,1,Ohdbald (15),92103,92214,No
OHDRIKKO.DLG,15,1,Ohdrikko (15),89975,90128,No
PALA.DLG,15,1,Pala (15),24474,61845,No
PIRCOR06.DLG,15,1,Pircor06 (15),54297,54616,No
PROPHET3.DLG,15,1,Prophet3 (15),20786,20800,No
RASAA25A.DLG,15,1,Rasaa25A (15),84998,86675,Yes
SARBUL04.DLG,15,1,Sarbul04 (15),71379,71414,No
SARBUL06.DLG,15,1,Sarbul04 (15),71379,71414,No
SARDW01.DLG,15,1,Sardw01 (15),71278,73881,No
SARTHF2.DLG,15,1,Sarthf2 (15),73462,73478,No
SENGUA03.DLG,15,1,Sengua03 (15),67473,70450,No
TEMAMN01.DLG,15,1,Temamn01 (15),32241,32279,No
UDIMRAE.DLG,15,1,Udimrae (15),50961,51074,No
UDTRAP01.DLG,15,1,Udtrap01 (15),50510,50532,No
UDVAMP01.DLG,15,1,Udvamp01 (15),52266,52317,No
UHGIRL01.DLG,15,1,Uhgirl01 (15),33193,46069,No
VAELASA.DLG,15,1,Vaelasa (15),2271,61060,No
VVDEL.DLG,15,1,Vvdel (15),41265,41283,No
VVHELP.DLG,15,1,Vvhelp (15),43084,43098,No
WATCHM.DLG,15,5,Bjaheir (6); Baerie (5); Watchm (2); Garren (1); Bmazzy (1),2939,9068,No
WINTHR2.DLG,15,3,Delon (12); Guard3 (2); Jagalvar (1),16867,16881,No
Z.DLG,15,2,Z (13); Malkal (2),649,24501,No
ACHEN.DLG,14,1,Achen (14),10515,10596,No
AMGRAV01.DLG,14,1,Amgrav01 (14),71675,73470,No
ARNMAN05.DLG,14,1,Arnman05 (14),39063,39077,No
ARNWAR08.DLG,14,1,Arnwar08 (14),39234,39281,No
BANDIC.DLG,14,2,Bandic (7); Anomen (7),6447,6463,No
BAZDRA01.DLG,14,1,Bazdra01 (14),67618,67631,No
BEGGAR3.DLG,14,2,Beggar3 (13); Ajantp (1),15437,19954,No
CEIGAROL.DLG,14,2,Ceigarol (13); Bounty (1),8710,59642,No
DADROW23.DLG,14,1,Dadrow23 (14),57465,57482,No
DBEGGAR2.DLG,14,1,Dbeggar2 (14),22598,48958,No
ELDOTP.DLG,14,1,Eldotp (14),16164,16762,No
EMITAR.DLG,14,4,Emitar (8); Bjan (3); Bjaheir (2); Aerie (1),20279,20310,No
FARMWE.DLG,14,3,Bvalyga (8); Bhaerda (3); Bjan (3),21169,21183,No
FTOBE3.DLG,14,3,Cernd (12); Ftobe3 (1); Cederil (1),8077,9065,No
FTOWNAZ.DLG,14,1,Ftownaz (14),17741,17827,No
HAFIZ.DLG,14,1,Hafiz (14),18326,18351,No
IRON11.DLG,14,3,Iron11 (10); Aran (3); Edwin (1),4427,9223,No
KERRAC.DLG,14,4,Hervo (6); Kalah2 (5); Jaheirap (2); Bviconi (1),10274,18819,Yes
OHBELGIA.DLG,14,2,Ohbelgia (13); Ohbdenna (1),92288,100795,Yes
OHRBLYNN.DLG,14,1,Ohrblynn (14),79159,95155,No
OHRMEMB2.DLG,14,2,Ohrhhelm (10); Ohrmemb2 (4),77892,78129,Yes
PBHUNT01.DLG,14,1,Pbhunt01 (14),36852,36878,No
PEHLLUS.DLG,14,1,Pehllus (14),29564,50506,No
PLFARM02.DLG,14,1,Plfarm02 (14),37591,61432,No
RIFT01.DLG,14,1,Rift01 (14),30322,34686,No
RIFTW01.DLG,14,1,Rift01 (14),30322,34686,No
SAHBAR03.DLG,14,1,Sahbar03 (14),46344,46746,No
SAHCPT02.DLG,14,1,Sahcpt02 (14),46258,61967,No
